preprocessing_step,snr,cnr,mse,psnr,ssim,relative_psnr,relative_rmse,file_path
No preprocessing,8.745962,8.075281,-1,-1,-1,19.809837341308594,962.19257,data/raw_pt/sub-A00000456_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,8.384743,7.625274,-1,-1,-1,17.98574209213257,690.04944,data/raw_pt/sub-A00016197_ses-20090101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,13.459339,12.7240715,-1,-1,-1,19.04654026031494,727.4119,data/raw_pt/sub-A00024568_ses-20090101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,11.487654,10.779894,-1,-1,-1,20.447654724121094,663.6906,data/raw_pt/sub-A00014175_ses-20110101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,8.021207,7.2519403,-1,-1,-1,18.140454292297363,707.62604,data/raw_pt/sub-A00023750_ses-20090101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,7.3851266,6.721747,-1,-1,-1,24.50721025466919,1173.0889,data/raw_pt/sub-A00024228_ses-20090101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,8.661094,7.845164,-1,-1,-1,17.013649940490723,500.70804,data/raw_pt/sub-A00013216_ses-20110101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,13.066627,12.409745,-1,-1,-1,17.733683586120605,517.5172,data/raw_pt/sub-A00031478_ses-20120101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,10.662412,10.005857,-1,-1,-1,17.17791438102722,657.1021,data/raw_pt/sub-A00029452_ses-20120101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,7.190129,6.7386317,-1,-1,-1,26.324026584625244,1603.2225,data/raw_pt/sub-A00000541_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,9.787249,9.12022,-1,-1,-1,18.172580003738403,742.1764,data/raw_pt/sub-A00037649_ses-20130101_acq-mprage_run-01_echo-01_T1w.nii.pt
